Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchang Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,2007-05-21 00:00:00,97955.43,5854.97,3070.75,13840.52,762.23,7090.63,9218.14,3850.12,141642.8,
,,,2007-05-22 00:00:00,97240.6,5854.97,3070.75,13754.35,762.23,7095.43,9216.84,3860.52,140855.7,
,,,2007-05-23 00:00:00,97290.5,5854.97,3085.64,13955.6,795.54,7107.93,9223.01,3872.62,141185.82,
,,,2007-05-24 00:00:00,97500.08,5881.08,3085.64,14148.95,795.54,7114.18,9308.08,3875.02,141708.57,
,,,2007-05-27 00:00:00,97485.68,5881.08,3085.64,14129.13,795.54,7114.18,9307.78,3875.02,141674.05,
,,,2007-05-28 00:00:00,97706.84,5881.08,3085.64,14129.13,795.54,7124.98,9315.78,3909.42,141948.41,
,,,2007-05-29 00:00:00,99286.73,5880.75,3085.64,14145.79,795.54,7128.28,9330.56,3920.62,143573.92,
,,,2007-05-30 00:00:00,101580.42,5880.75,3090.64,14160.38,795.54,7057.88,9367.32,3992.82,145925.76,
,,,2007-05-31 00:00:00,101539.56,5887.46,3095.64,14225.35,795.54,6982.38,9409.07,4181.82,146116.83,
,,,2007-06-03 00:00:00,100480.38,5890.45,3095.64,14238.57,795.54,7021.43,9423.06,4189.12,145134.2,
,,,2007-06-04 00:00:00,101463.44,5893.62,3095.64,14357.77,795.54,7024.85,9509.11,4182.32,146322.3,
,,,2007-06-05 00:00:00,101947.51,5896.98,3052.16,14435.68,795.54,7026.65,9522.68,4183.12,146860.31,
,,,2007-06-06 00:00:00,103342.41,5896.98,3052.16,14591.32,795.54,7029.46,9540.04,4185.52,148433.42,
,,,2007-06-07 00:00:00,103835.49,6037.5,3052.16,14468.95,795.54,7029.46,9571.1,4209.72,148999.92,
,,,2007-06-10 00:00:00,105597.98,6037.5,3052.16,14585,795.54,7020.96,9603.01,4219.32,150911.47,
,,,2007-06-11 00:00:00,106867.99,6037.5,3095.64,14662.54,795.54,7017.21,9631.82,4251.32,152359.56,
,,,2007-06-12 00:00:00,108936.96,6041.23,3095.64,14664.32,795.54,7089.72,9637.66,4356.52,154617.59,
,,,2007-06-13 00:00:00,111486.79,6041.23,3105.64,14889.81,795.54,7171.64,9667.15,4381.62,157539.43,
,,,2007-06-14 00:00:00,109476.48,6041.23,3105.64,14597.97,795.54,7176.64,9667.15,4381.62,155242.28,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,, Sectorwise market capitalization during Ashadh 2064 (15 June 2007 to 16 July 2007),,,,,,,,,,
,,,Date,Com.,  Manufacturing,Hotel,Others,Hydro,Trading ,Insurance,Finance,Dev.,Total
,,,Ashadh 2064,Bank,& Processing,,,Power,,,,Bank,Rs. Millions
,,,2007-06-17 00:00:00,108028.47,6041.23,3105.64,14580.71,,795.54,7179.64,9679.05,4323.22,153733.5
,,,2007-06-18 00:00:00,106234.41,6041.23,3105.64,14776.32,,795.54,7205.44,9682.23,4283.72,152124.54
,,,2007-06-19 00:00:00,107016.71,6041.23,3125.54,14893.06,,795.54,7312.25,9683.91,4279.22,153147.46
,,,2007-06-20 00:00:00,109941.92,6041.23,3125.54,15054.95,,795.54,7316,9680.56,4304.82,156260.57
,,,2007-06-21 00:00:00,110985.49,6041.23,3140.44,15081.09,,795.54,7401,9692.44,4372.82,157510.05
,,,2007-06-24 00:00:00,110829.31,6041.23,3140.44,15369.19,,796.36,7432.5,9682.91,4372.82,157664.77
,,,2007-06-25 00:00:00,111901.36,6041.23,3140.44,15382.41,,796.36,7430.75,9683.21,4423.22,158798.98
,,,2007-06-26 00:00:00,112389.19,6087.27,3145.44,15332.71,,796.36,7451.05,9721.49,4436.12,159359.64
,,,2007-06-27 00:00:00,112257.19,6087.27,3145.44,15710.29,,796.36,7547.75,9726.47,4457.22,159727.99
,,,2007-06-28 00:00:00,Market remain closed due to SEBO brings new regulation which cant be adopted without required amendment.,,,,,,,,,
,,,2007-07-01 00:00:00,112565.7,6087.27,3145.44,15805.99,,796.36,7630.07,9746.04,4489.3,160266.17
,,,2007-07-02 00:00:00,113779.43,6087.27,3145.44,15895.03,,796.36,7641.32,9740.44,4540.63,161625.93
,,,2007-07-03 00:00:00,114451.32,6087.27,3145.44,24.71,16196.57,796.36,7797.77,9744.09,4557.68,162801.22
,,,2007-07-04 00:00:00,116374.66,6160.93,3145.44,24.71,16423.65,796.36,7797.77,9760.47,4534.38,165018.36
,,,2007-07-05 00:00:00,117150.68,6160.93,3145.44,24.71,16248.14,796.36,7800.27,9784.75,4552.77,165664.04
,,,2007-07-09 00:00:00,117609.65,6199.99,3150.44,24.71,16245.27,796.36,7854.22,9781,4977.47,167639.11
,,,2007-07-10 00:00:00,118963.02,6199.99,3150.44,21.71,16235.79,796.36,7854.78,9827.47,5996.98,169049.54
,,,2007-07-11 00:00:00,122077.33,6199.99,3188.93,24.71,16325.12,796.36,7954.78,9859.95,6001.16,172428.34
,,,2007-07-12 00:00:00,124879.45,6199.99,3208.93,24.71,16288.64,796.36,7962.28,9854.42,5975.06,175189.84
,,,2007-07-15 00:00:00,128590.56,6199.99,3208.93,24.71,16471.04,796.36,7962.28,9859.77,5977.16,179090.8
,,,2007-07-16 00:00:00,135588.41,6199.99,3261.11,24.71,16471.04,796.36,8059.78,9889.32,6010.56,186301.28
