.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Stoxkarts Securities Limited,6504580136.55,6161258858.04,Stoxkarts Securities Limited,6504580136.55,Stoxkarts Securities Limited,6504580136.55,6161258858.04,Stoxkarts Securities Limited,6504580136.55,8233709.87,1646741.92,5598922.69,68200,10403681,16019643.89,3203928.74,12815715.09,1922357.31,10893357.76
Sumeru Securities Pvt. Ltd.,39851451848.59,40334356892.5,Sumeru Securities Pvt. Ltd.,39851451848.59,Sumeru Securities Pvt. Ltd.,39851451848.59,40334356892.5,Sumeru Securities Pvt. Ltd.,39851451848.59,10927648.10,2185529.61,7430800.68,50582,14861835,22389798.26,4477959.65,17911838.65,2686775.82,15225062.81
SUN SECURITIES PVT LTD,20645914014.64,20033074767.37,SUN SECURITIES PVT LTD,20645914014.64,SUN SECURITIES PVT LTD,20645914014.64,20033074767.37,SUN SECURITIES PVT LTD,20645914014.64,18731848.96,3746369.82,12737657.31,68699,22091497,35515577.69,7103115.56,28412462.17,4261869.45,24150592.87
Sundhara Securities Limited,23572471577.17,24125798423.63,Sundhara Securities Limited,23572471577.17,Sundhara Securities Limited,23572471577.17,24125798423.63,Sundhara Securities Limited,23572471577.17,2510692.33,502138.51,1707270.76,20800,3431841,4698260.22,939651.98,3758608.28,563791.30,3194816.93
Sunrise Securities Limited,2795744456.44,1277180196.78,Sunrise Securities Limited,2795744456.44,Sunrise Securities Limited,2795744456.44,1277180196.78,Sunrise Securities Limited,2795744456.44,43392728.54,8678545.67,29507055.38,194764,101281508,85389486.33,17077897.21,68311589.13,10246738.46,58064850.75
Swarna Laxmi Securities Pvt. Ltd.,7271215825.07,7806920584.68,Swarna Laxmi Securities Pvt. Ltd.,7271215825.07,Swarna Laxmi Securities Pvt. Ltd.,7271215825.07,7806920584.68,Swarna Laxmi Securities Pvt. Ltd.,7271215825.07,18258784.89,3651756.99,12415973.79,102763,21364512,35550210.35,7110042.03,28440168.42,4266025.32,24174143.09
Sweta Securities Private Limited,21829618856.75,22867953605.39,Sweta Securities Private Limited,21829618856.75,Sweta Securities Private Limited,21829618856.75,22867953605.39,Sweta Securities Private Limited,21829618856.75,36718729.05,7343745.80,24968735.78,128879,36773973,70969701.83,14193940.31,56775761.54,8516364.27,48259397.25
Thrive Brokerage House Pvt. Ltd,19228570598.13,20961876856.67,Thrive Brokerage House Pvt. Ltd,19228570598.13,Thrive Brokerage House Pvt. Ltd,19228570598.13,20961876856.67,Thrive Brokerage House Pvt. Ltd,19228570598.13,7255585.61,1451117.18,4933798.15,33756,8928932,13960785.18,2792157.05,11168628.18,1675294.21,9493334.02
Trademow Securities Private Limited,3716778039.16,3172219091.19,Trademow Securities Private Limited,3716778039.16,Trademow Securities Private Limited,3716778039.16,3172219091.19,Trademow Securities Private Limited,3716778039.16,11995574.21,2399114.87,8156990.47,56372,13167277,22122795.47,4424559.15,17698236.34,2654735.54,15043500.94
Trishakti Securities Public Limited,42622333272.74,42327949209.24,Trishakti Securities Public Limited,42622333272.74,Trishakti Securities Public Limited,42622333272.74,42327949209.24,Trishakti Securities Public Limited,42622333272.74,13711851.51,2742370.39,9324059.08,66662,15962897,26885215.21,5377043.08,21508172.03,3226225.79,18281946.32
Trisul Securities & Invt. Ltd.,27085601001.99,27840860675.51,Trisul Securities & Invt. Ltd.,27085601001.99,Trisul Securities & Invt. Ltd.,27085601001.99,27840860675.51,Trisul Securities & Invt. Ltd.,27085601001.99,8313972.09,1662794.37,5653500.98,22672,31773405,11671491.79,2334298.38,9337193.32,1400578.97,7936614.42
Vision Securities Pvt. Ltd,77993325148.17,80402891094.77,Vision Securities Pvt. Ltd,77993325148.17,Vision Securities Pvt. Ltd,77993325148.17,80402891094.77,Vision Securities Pvt. Ltd,77993325148.17,3070873.52,614174.71,2088193.96,11058,3268736,5048010.91,1009602.21,4038408.71,605761.30,3432647.42
